Wtorek,14,Lipiec,2026,18:21:15:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'010,,,,Grupa B:,'003,,,,Grupa C:,'001
,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Napiêcie,Temperatura
,215.75,505.0,989.4,1060.8,2.7,216.06,1673,260.0,495.0,94.4,215.42,1714,0.6,1.140,93.6
,216.70,500.0,989.4,1060.8,2.7,217.02,1612,260.0,495.0,94.4,216.38,1652,1.0,1.200,93.6
,217.64,485.0,989.4,1050.6,9.0,217.96,1550,260.0,490.0,94.4,217.33,1591,1.2,1.260,93.6
,218.60,500.0,989.4,1050.6,9.4,218.92,1530,260.0,495.0,94.4,218.29,1550,3.8,1.440,93.6
,219.56,485.0,989.4,1050.6,0.0,219.88,1428,260.0,500.0,94.4,219.24,1489,0.2,1.360,92.7
,220.52,495.0,989.4,1040.4,0.0,220.84,1204,260.0,495.0,94.4,220.20,1346,0.2,1.180,92.7
,221.48,465.0,989.4,1040.4,0.0,221.80,755,275.0,470.0,94.4,221.16,1122,0.2,0.760,92.7
,222.44,460.0,989.4,1020.0,0.0,222.76,775,270.0,455.0,94.4,222.12,755,8.4,1.620,92.7
,223.40,485.0,989.4,1009.8,3.9,223.72,836,370.0,455.0,16.3,223.08,816,6.8,1.500,92.7
,224.36,450.0,989.4,1020.0,28.6,224.68,898,720.0,450.0,4.8,224.04,836,14.8,1.900,92.7
,225.32,465.0,989.4,1030.2,58.4,225.64,1020,850.0,475.0,4.8,225.00,938,24.4,2.320,92.7
,226.28,495.0,989.4,1050.6,100.0,226.60,1142,850.0,495.0,4.8,225.97,1061,24.6,2.320,92.7
,227.24,500.0,989.4,1081.2,100.0,227.56,1285,850.0,515.0,4.8,226.92,1204,24.0,2.280,92.7
,228.22,525.0,989.4,1132.2,100.0,228.54,1448,850.0,535.0,4.8,227.88,1346,26.6,2.440,92.7
,229.18,565.0,989.4,1224.0,100.0,229.50,1632,850.0,595.0,4.8,228.86,1510,30.0,2.620,92.7
,230.14,630.0,989.4,1356.6,100.0,230.46,1856,850.0,660.0,4.8,229.82,1714,32.2,2.900,92.7
,231.10,705.0,989.4,1519.8,49.0,231.42,2040,515.0,705.0,25.5,230.78,1918,36.0,3.160,92.7
,232.06,595.0,989.4,1356.6,0.0,232.38,2020,270.0,565.0,94.4,231.74,2040,5.4,2.040,92.7
,233.03,525.0,989.4,1142.4,8.6,233.34,1958,275.0,515.0,94.4,232.70,2020,0.2,0.760,92.7
,233.98,525.0,989.4,1132.2,18.4,234.30,1938,290.0,530.0,94.4,233.66,1958,5.4,1.520,92.7
,234.94,535.0,989.4,1132.2,23.5,235.26,1918,320.0,535.0,94.4,234.62,1938,6.6,1.580,92.7
,235.90,535.0,989.4,1142.4,25.9,236.22,1938,320.0,535.0,94.4,235.58,1918,8.4,1.760,92.7
,236.86,540.0,989.4,1152.6,25.1,237.18,1938,295.0,535.0,94.4,236.54,1938,8.2,1.700,92.7
,237.82,530.0,989.4,1142.4,16.9,238.14,1877,275.0,535.0,94.4,237.50,1938,6.2,1.620,92.7
,238.78,520.0,989.4,1111.8,0.0,239.10,1877,265.0,510.0,94.4,238.46,1897,4.6,1.480,92.7
,239.74,515.0,989.4,1081.2,0.0,240.07,1795,265.0,505.0,94.4,239.42,1836,0.2,1.160,92.7
,240.71,510.0,989.4,1071.0,0.0,241.02,1632,260.0,510.0,94.4,240.38,1775,0.2,0.760,92.7
,241.66,505.0,989.4,1060.8,0.0,241.98,1428,260.0,490.0,94.4,241.34,1571,0.2,0.760,92.7
,242.62,490.0,989.4,1050.6,0.0,242.94,898,260.0,480.0,94.4,242.30,1346,0.2,0.760,92.7
,243.58,465.0,989.4,1030.2,0.0,243.90,755,275.0,460.0,94.4,243.26,816,8.6,1.600,92.7
,244.54,440.0,989.4,1009.8,0.0,244.86,1448,260.0,445.0,94.4,244.22,775,8.0,1.580,92.7
,245.50,475.0,989.4,1009.8,0.8,245.82,1326,260.0,490.0,94.4,245.18,1448,0.2,1.140,92.7
,246.46,480.0,989.4,1040.4,29.0,246.78,1387,410.0,485.0,94.4,246.14,1326,8.0,1.620,92.7
,247.42,500.0,989.4,1071.0,32.9,247.74,1530,450.0,500.0,94.4,247.10,1387,14.2,2.020,92.7
,248.38,525.0,989.4,1111.8,32.9,248.70,1734,420.0,525.0,94.4,248.06,1612,14.6,2.100,92.7
,249.34,540.0,989.4,1152.6,41.6,249.66,1979,560.0,580.0,94.4,249.02,1795,13.8,1.960,92.7
,250.30,640.0,989.4,1336.2,47.8,250.62,2346,580.0,680.0,94.4,249.98,2081,24.2,2.660,92.7
,251.26,650.0,989.4,1438.2,0.0,251.58,1632,260.0,595.0,94.4,250.94,2448,17.4,2.620,92.7
,252.22,550.0,989.4,1173.0,39.6,252.54,1632,630.0,565.0,4.8,251.90,1612,7.8,1.620,92.7
,253.18,590.0,989.4,1254.6,51.4,253.50,1795,650.0,605.0,4.8,252.86,1673,26.6,2.620,92.7
,254.14,620.0,989.4,1336.2,43.9,254.46,1938,510.0,630.0,25.9,253.82,1836,25.8,2.680,92.7
,255.10,600.0,989.4,1315.8,26.3,255.42,1999,295.0,575.0,94.4,254.78,1958,13.8,2.220,92.7
,256.06,530.0,989.4,1183.2,0.0,256.38,1938,265.0,530.0,94.4,255.74,1979,4.8,1.760,92.7
,257.02,515.0,989.4,1111.8,7.8,257.34,1877,270.0,515.0,94.4,256.70,1918,2.8,1.320,92.7
,257.98,515.0,989.4,1101.6,13.3,258.30,1856,285.0,515.0,94.4,257.66,1877,4.6,1.460,92.7
,258.94,530.0,989.4,1111.8,27.1,259.26,1856,340.0,535.0,94.4,258.62,1856,7.0,1.580,92.7
,259.90,540.0,989.4,1142.4,39.6,260.22,1897,535.0,570.0,94.4,259.58,1856,9.0,1.740,92.7
,260.88,600.0,989.4,1285.2,41.6,261.20,2060,645.0,620.0,90.8,260.54,1958,21.6,2.460,92.7
,261.84,685.0,989.4,1428.0,51.0,262.16,2224,645.0,700.0,4.8,261.52,2101,26.8,2.880,92.7
,262.80,705.0,989.4,1540.2,31.4,263.12,1999,270.0,635.0,79.7,262.48,2285,26.0,2.860,92.7
,263.76,555.0,989.4,1224.0,41.2,264.08,1612,850.0,600.0,4.8,263.44,1612,7.0,1.540,92.7
,264.72,620.0,989.4,1326.0,100.0,265.04,1714,850.0,645.0,4.8,264.40,1652,31.8,2.840,93.6
,265.68,670.0,989.4,1438.2,100.0,266.00,1816,850.0,690.0,4.8,265.36,1754,33.8,3.000,92.7
,266.64,725.0,989.4,1560.6,100.0,266.96,1918,850.0,750.0,4.8,266.32,1856,36.2,3.160,92.7
,267.60,790.0,989.4,1672.8,100.0,267.92,2040,850.0,805.0,4.8,267.28,1958,38.8,3.320,93.6
,268.56,820.0,989.4,1764.6,100.0,268.88,2142,850.0,830.0,4.8,268.24,2081,40.4,3.400,93.6
,269.52,785.0,989.4,1764.6,16.1,269.84,2224,280.0,615.0,78.9,269.20,2183,41.2,3.460,93.6
,270.48,545.0,989.4,1234.2,0.0,270.80,2142,275.0,535.0,94.4,270.16,2183,0.2,0.760,93.6
,271.44,560.0,989.4,1162.8,0.0,271.76,1204,260.0,540.0,94.4,271.12,2101,0.2,0.760,93.6
,272.42,475.0,989.4,1081.2,0.0,272.74,775,260.0,455.0,94.4,272.10,836,8.0,1.580,92.7
,273.38,455.0,989.4,1030.2,0.0,273.69,1081,260.0,455.0,94.4,273.06,836,0.2,0.760,92.7
,274.34,460.0,989.4,1009.8,0.0,274.66,1571,260.0,455.0,94.4,274.02,1183,0.2,0.760,93.6
,275.30,475.0,989.4,1009.8,0.0,275.61,2244,285.0,500.0,94.4,274.98,1958,0.2,0.760,93.6
,276.25,510.0,989.4,1091.4,0.0,276.57,2040,270.0,500.0,94.4,275.94,2183,0.2,0.760,93.6
,277.22,515.0,989.4,1101.6,0.0,277.54,1836,265.0,515.0,94.4,276.90,1979,0.2,0.760,93.6
,278.18,510.0,989.4,1081.2,0.0,278.50,1612,260.0,510.0,94.4,277.86,1754,0.2,0.760,93.6
,279.14,495.0,989.4,1071.0,0.0,279.45,1367,260.0,495.0,94.4,278.82,1510,0.2,0.760,93.6
,280.10,485.0,989.4,1050.6,0.0,280.42,1183,260.0,480.0,94.4,279.78,1285,0.2,0.760,93.6
,281.06,480.0,989.4,1030.2,0.0,281.37,1183,405.0,470.0,92.4,280.73,1163,0.2,0.760,93.6
,282.02,500.0,989.4,1050.6,72.2,282.33,1224,850.0,500.0,4.8,281.70,1163,24.2,2.280,93.6
,282.98,510.0,989.4,1101.6,78.0,283.29,1367,850.0,520.0,4.8,282.65,1285,24.6,2.380,93.6
,283.93,560.0,989.4,1173.0,78.0,284.26,1550,850.0,570.0,4.8,283.62,1428,28.2,2.580,93.6
,284.90,600.0,989.4,1285.2,77.6,285.22,1734,850.0,625.0,4.8,284.58,1591,30.8,2.760,93.6
,285.86,680.0,989.4,1438.2,76.1,286.18,1958,850.0,705.0,4.8,285.54,1816,33.4,3.020,93.6
,286.81,780.0,989.4,1662.6,74.5,287.13,2203,850.0,810.0,4.8,286.49,2020,39.0,3.340,93.6
,287.78,845.0,989.4,1825.8,74.1,288.10,2468,850.0,855.0,4.8,287.45,2285,40.2,3.460,93.6
,288.73,835.0,989.4,1876.8,54.5,289.06,2672,630.0,810.0,17.5,288.42,2550,36.0,3.500,93.6
,289.70,735.0,989.4,1672.8,0.0,290.02,1856,265.0,635.0,94.4,289.38,2713,24.4,3.020,93.6
,290.65,535.0,989.4,1213.8,20.8,290.97,1877,445.0,545.0,92.4,290.33,1775,6.0,1.440,93.6
,291.61,560.0,989.4,1203.6,23.5,291.93,1856,285.0,535.0,94.4,291.30,1856,15.0,2.120,93.6
,292.57,520.0,989.4,1142.4,11.0,292.89,1836,270.0,515.0,94.4,292.25,1856,5.0,1.480,93.6
,293.53,515.0,989.4,1111.8,11.4,293.85,1816,265.0,505.0,94.4,293.22,1836,4.4,1.440,93.6
,294.49,500.0,989.4,1091.4,0.0,294.81,1754,265.0,505.0,94.4,294.17,1775,0.2,0.760,93.6
,295.45,495.0,989.4,1081.2,0.0,295.78,1714,260.0,495.0,94.4,295.13,1754,0.2,0.760,93.6
,296.41,505.0,989.4,1071.0,0.0,296.73,1673,260.0,500.0,94.4,296.09,1714,0.2,0.760,93.6
,297.38,495.0,989.4,1060.8,0.0,297.69,1632,260.0,490.0,94.4,297.05,1652,0.2,0.760,93.6
,298.33,495.0,989.4,1060.8,0.0,298.65,1550,260.0,490.0,94.4,298.01,1612,0.2,0.760,93.6
,299.30,485.0,989.4,1050.6,0.0,299.61,1510,260.0,485.0,94.4,298.97,1550,0.2,0.760,93.6
,300.25,485.0,989.4,1050.6,0.0,300.57,1469,260.0,490.0,94.4,299.93,1489,0.2,0.760,93.6
,301.21,495.0,989.4,1050.6,0.0,301.53,1428,260.0,490.0,94.4,300.89,1448,0.2,0.760,93.6
,302.17,485.0,989.4,1040.4,0.0,302.49,1367,260.0,490.0,94.4,301.85,1408,0.2,0.760,93.6
,303.13,490.0,989.4,1040.4,0.0,303.45,1265,260.0,485.0,94.4,302.81,1346,0.2,0.760,93.6
,304.09,470.0,989.4,1030.2,0.0,304.41,1183,260.0,475.0,94.4,303.77,1244,0.2,0.760,93.6
,305.05,450.0,989.4,1040.4,0.0,305.37,775,275.0,435.0,94.4,304.73,1000,2.2,1.380,93.6
,306.01,460.0,989.4,1020.0,0.0,306.33,775,270.0,455.0,94.4,305.69,775,8.0,1.620,94.5
,306.97,455.0,989.4,1009.8,0.0,307.29,775,275.0,455.0,94.4,306.65,775,8.0,1.640,93.6
,307.93,450.0,989.4,1009.8,0.0,308.25,775,275.0,440.0,94.4,307.61,775,8.2,1.660,93.6
,308.89,455.0,989.4,1009.8,0.0,309.21,775,275.0,450.0,94.4,308.57,775,8.2,1.640,94.5
,309.85,450.0,989.4,999.6,0.0,310.17,775,270.0,455.0,94.4,309.53,775,8.0,1.620,93.6
,310.81,450.0,989.4,999.6,0.0,311.13,775,275.0,460.0,94.4,310.49,775,8.0,1.640,94.5
,311.77,440.0,989.4,999.6,0.0,312.09,775,275.0,440.0,94.4,311.45,775,8.2,1.620,93.6
,312.73,455.0,989.4,999.6,0.0,313.05,755,280.0,435.0,94.4,312.41,755,8.4,1.620,94.5
,313.69,445.0,989.4,1009.8,0.0,314.01,775,275.0,450.0,94.4,313.37,775,8.0,1.600,93.6
,314.65,455.0,989.4,1009.8,0.0,314.97,775,275.0,455.0,94.4,314.33,775,8.2,1.640,94.5
,315.63,445.0,989.4,999.6,0.0,315.95,775,275.0,445.0,94.4,315.29,775,8.0,1.620,93.6
,316.59,445.0,989.4,1009.8,0.0,316.91,775,275.0,445.0,94.4,316.27,775,8.2,1.620,93.6
,317.55,450.0,989.4,1009.8,0.0,317.87,775,275.0,455.0,94.4,317.23,775,8.0,1.640,93.6
,318.51,455.0,989.4,999.6,0.0,318.83,775,275.0,445.0,94.4,318.19,775,8.2,1.640,93.6
,319.47,445.0,989.4,999.6,0.0,319.79,775,275.0,445.0,94.4,319.15,775,8.2,1.640,93.6
,320.43,450.0,989.4,999.6,0.0,320.75,775,270.0,445.0,94.4,320.11,775,8.2,1.600,93.6
,321.39,455.0,989.4,1009.8,0.0,321.71,775,270.0,445.0,94.4,321.07,775,8.2,1.620,93.6
,322.35,450.0,989.4,999.6,0.0,322.67,775,275.0,455.0,94.4,322.03,775,8.2,1.680,93.6
,323.31,455.0,999.6,1009.8,0.0,323.63,775,275.0,455.0,94.4,322.99,775,8.0,1.620,93.6
,324.27,455.0,989.4,999.6,0.0,324.59,775,275.0,450.0,94.4,323.95,775,8.2,1.600,93.6
,325.23,445.0,989.4,999.6,0.0,325.55,775,275.0,445.0,94.4,324.91,775,8.0,1.600,93.6
,326.19,450.0,989.4,1009.8,0.0,326.51,775,275.0,455.0,94.4,325.87,775,8.0,1.620,93.6
,327.15,455.0,989.4,999.6,0.0,327.47,775,275.0,445.0,94.4,326.83,775,8.0,1.620,93.6
,328.11,450.0,989.4,999.6,0.0,328.43,755,275.0,440.0,94.4,327.79,775,8.2,1.600,93.6
,329.07,445.0,989.4,1009.8,0.0,329.39,775,270.0,445.0,94.4,328.75,775,8.0,1.600,93.6
,330.03,450.0,989.4,999.6,0.0,330.35,775,275.0,455.0,94.4,329.71,775,8.2,1.640,93.6
,330.99,445.0,989.4,999.6,0.0,331.31,775,275.0,455.0,94.4,330.67,775,8.2,1.660,93.6
,331.95,460.0,989.4,999.6,0.0,332.27,775,275.0,450.0,94.4,331.63,775,8.0,1.600,93.6
,332.91,445.0,989.4,1009.8,0.0,333.23,775,270.0,445.0,94.4,332.59,775,8.2,1.600,93.6
,333.87,445.0,989.4,999.6,0.0,334.19,775,275.0,455.0,94.4,333.55,775,8.2,1.620,93.6
,334.83,450.0,989.4,999.6,0.0,335.15,775,275.0,450.0,94.4,334.51,775,8.2,1.640,93.6
,335.79,450.0,989.4,999.6,0.0,336.11,775,275.0,450.0,94.4,335.47,775,8.0,1.620,93.6
,336.75,440.0,989.4,999.6,0.0,337.07,775,270.0,445.0,94.4,336.43,775,8.0,1.600,93.6
,337.71,445.0,989.4,999.6,0.0,338.03,775,275.0,455.0,94.4,337.39,775,8.0,1.620,94.5
,338.67,460.0,989.4,1009.8,0.0,338.99,775,275.0,450.0,94.4,338.35,775,8.0,1.640,93.6
,339.63,445.0,989.4,1009.8,0.0,339.95,775,275.0,445.0,94.4,339.31,775,7.8,1.620,93.6
,340.59,435.0,989.4,999.6,0.0,340.91,775,275.0,440.0,94.4,340.26,775,8.2,1.600,93.6
,341.55,450.0,989.4,1009.8,0.0,341.86,775,275.0,450.0,94.4,341.23,775,8.2,1.640,93.6
,342.51,445.0,989.4,999.6,0.0,342.83,775,275.0,450.0,94.4,342.19,775,8.0,1.720,93.6
,343.47,450.0,989.4,999.6,0.0,343.79,775,275.0,445.0,94.4,343.15,775,8.2,1.620,93.6
,344.43,445.0,989.4,999.6,0.0,344.75,775,275.0,450.0,94.4,344.11,775,8.2,1.600,93.6
,345.39,445.0,989.4,999.6,0.0,345.71,775,275.0,455.0,94.4,345.07,775,8.2,1.620,93.6
,346.35,450.0,989.4,999.6,0.0,346.66,775,275.0,445.0,94.4,346.03,775,7.6,1.620,93.6
,347.31,450.0,989.4,999.6,0.0,347.63,775,275.0,450.0,94.4,346.99,775,8.2,1.620,93.6
,348.27,450.0,989.4,999.6,0.0,348.59,775,275.0,450.0,94.4,347.95,775,8.0,1.600,93.6
,349.23,445.0,989.4,999.6,0.0,349.55,775,275.0,440.0,94.4,348.91,775,8.0,1.600,93.6
,350.19,455.0,989.4,999.6,0.0,350.51,775,275.0,440.0,94.4,349.87,775,8.0,1.620,93.6
,351.15,450.0,989.4,999.6,0.0,351.47,755,280.0,450.0,94.4,350.83,775,8.0,1.620,93.6
,352.11,455.0,989.4,999.6,0.0,352.43,775,275.0,455.0,94.4,351.79,775,8.4,1.600,93.6
,353.06,440.0,989.4,999.6,0.0,353.39,775,275.0,450.0,94.4,352.74,775,8.0,1.600,93.6
,354.03,455.0,989.4,1009.8,0.0,354.35,775,275.0,445.0,94.4,353.70,775,7.8,1.620,93.6
,354.99,450.0,989.4,999.6,0.0,355.31,775,275.0,440.0,94.4,354.66,755,8.2,1.640,93.6
,355.97,445.0,989.4,999.6,0.0,356.28,775,275.0,445.0,94.4,355.64,775,8.2,1.600,93.6
,356.92,445.0,989.4,999.6,0.0,357.24,775,275.0,460.0,94.4,356.60,775,8.2,1.620,93.6
,357.88,450.0,989.4,1009.8,0.0,358.20,775,275.0,450.0,94.4,357.56,775,8.2,1.640,93.6
,358.84,445.0,989.4,999.6,0.0,359.16,775,275.0,440.0,94.4,358.52,775,8.0,1.620,93.6
,359.81,450.0,989.4,999.6,0.0,360.12,775,270.0,455.0,94.4,359.49,775,8.2,1.600,93.6
,360.77,430.0,989.4,999.6,0.0,361.08,775,275.0,450.0,94.4,360.44,775,8.0,1.600,93.6
,361.74,455.0,989.4,999.6,0.0,362.06,775,275.0,445.0,94.4,361.42,775,8.2,1.640,93.6
,362.70,445.0,989.4,1009.8,0.0,363.02,775,275.0,450.0,94.4,362.38,775,8.2,1.640,93.6
,363.66,450.0,989.4,1009.8,0.0,363.98,775,275.0,455.0,94.4,363.34,775,8.2,1.600,93.6
,364.62,450.0,989.4,999.6,0.0,364.94,775,275.0,455.0,94.4,364.30,775,7.8,1.600,93.6
,365.58,450.0,989.4,1009.8,0.0,365.90,775,275.0,455.0,94.4,365.26,775,8.0,1.640,93.6
,366.54,450.0,989.4,999.6,0.0,366.86,775,275.0,450.0,94.4,366.22,775,8.2,1.640,93.6
,367.50,450.0,989.4,999.6,0.0,367.82,775,275.0,455.0,94.4,367.18,775,8.2,1.600,93.6
,368.46,445.0,989.4,1009.8,0.0,368.78,775,275.0,450.0,94.4,368.14,775,8.0,1.600,93.6
,369.44,445.0,989.4,999.6,0.0,369.76,775,275.0,450.0,94.4,369.10,775,8.0,1.660,93.6
,370.40,450.0,989.4,1009.8,0.0,370.72,775,275.0,450.0,94.4,370.08,775,8.0,1.640,93.6
,371.36,445.0,989.4,999.6,0.0,371.68,775,275.0,445.0,94.4,371.04,775,8.2,1.620,93.6
,372.32,455.0,989.4,999.6,0.0,372.64,775,275.0,450.0,94.4,372.00,775,8.0,1.620,93.6
,373.28,455.0,989.4,1009.8,0.0,373.60,775,275.0,445.0,94.4,372.96,775,8.0,1.640,93.6
,374.24,450.0,989.4,999.6,0.0,374.56,775,275.0,450.0,94.4,373.92,775,8.2,1.640,93.6
,375.18,445.0,989.4,999.6,0.0,375.50,775,275.0,450.0,94.4,374.88,775,8.2,1.600,93.6
,376.14,450.0,989.4,999.6,0.0,376.46,775,275.0,450.0,94.4,375.82,775,8.2,1.600,93.6
,377.10,440.0,989.4,999.6,0.0,377.42,775,275.0,450.0,94.4,376.78,775,8.0,1.620,93.6
,378.06,450.0,989.4,1009.8,0.0,378.38,775,275.0,450.0,94.4,377.74,775,8.2,1.660,93.6
,379.02,445.0,989.4,999.6,0.0,379.34,775,275.0,455.0,94.4,378.70,775,8.2,1.620,93.6
,379.98,450.0,989.4,999.6,0.0,380.30,775,275.0,445.0,94.4,379.66,775,8.0,1.600,93.6
,380.94,445.0,989.4,999.6,0.0,381.26,775,275.0,455.0,94.4,380.62,775,8.2,1.620,93.6
,381.90,455.0,989.4,1009.8,0.0,382.22,775,275.0,450.0,94.4,381.58,775,8.2,1.640,93.6
,382.86,425.0,989.4,999.6,8.2,383.18,836,450.0,445.0,92.4,382.54,775,7.8,1.620,93.6
,383.82,460.0,989.4,1009.8,20.0,384.14,857,450.0,455.0,94.4,383.50,877,14.8,2.000,93.6
,384.78,460.0,989.4,1020.0,22.4,385.10,1040,450.0,460.0,92.0,384.46,857,16.2,2.040,93.6
,385.74,475.0,989.4,1030.2,47.1,386.06,1775,575.0,500.0,4.8,385.42,1204,20.6,2.140,93.6
,386.72,595.0,989.4,1224.0,32.2,387.04,2428,325.0,595.0,52.6,386.38,2081,23.8,2.640,93.6
,387.68,570.0,989.4,1224.0,9.4,388.00,1204,265.0,520.0,94.4,387.36,2040,0.2,1.220,93.6
,388.64,500.0,989.4,1091.4,16.1,388.96,1265,285.0,495.0,94.4,388.32,1367,6.4,1.540,93.6
,389.60,480.0,989.4,1060.8,11.8,389.92,1204,270.0,490.0,94.4,389.28,1244,5.2,1.520,93.6
,390.56,485.0,989.4,1040.4,14.1,390.88,1102,275.0,490.0,94.4,390.24,1163,6.0,1.520,93.6
,391.52,475.0,989.4,1030.2,21.6,391.84,1061,365.0,485.0,94.4,391.20,1081,8.2,1.600,93.6
,392.48,485.0,989.4,1030.2,27.5,392.80,1183,435.0,485.0,94.4,392.16,1102,11.4,1.860,93.6
,393.44,490.0,989.4,1050.6,31.0,393.76,1387,470.0,505.0,94.4,393.12,1244,15.2,2.060,93.6
,394.40,505.0,989.4,1091.4,32.9,394.72,1571,445.0,520.0,94.4,394.08,1448,15.8,2.100,93.6
,395.36,535.0,989.4,1132.2,32.5,395.68,1734,430.0,535.0,94.4,395.05,1632,14.6,2.020,93.6
,396.32,545.0,989.4,1162.8,32.9,396.64,1918,425.0,555.0,94.4,396.00,1816,14.2,2.040,93.6
,397.28,565.0,989.4,1203.6,29.8,397.60,2060,375.0,560.0,94.4,396.96,1979,14.2,2.080,92.7
,398.24,560.0,989.4,1213.8,25.9,398.56,2122,305.0,555.0,94.4,397.92,2101,11.0,1.940,92.7
,399.20,560.0,989.4,1193.4,23.5,399.52,2142,310.0,545.0,94.4,398.88,2162,7.4,1.660,92.7
,400.16,555.0,989.4,1193.4,28.2,400.48,2203,400.0,570.0,94.4,399.84,2162,8.8,1.740,92.7
,401.12,585.0,989.4,1244.4,30.6,401.44,2326,410.0,600.0,94.4,400.80,2244,12.6,1.960,92.7
,402.08,620.0,989.4,1315.8,42.7,402.40,2550,585.0,685.0,94.4,401.76,2366,14.4,2.120,92.7
,403.04,650.0,989.4,1438.2,0.0,403.36,1612,265.0,585.0,94.4,402.72,2591,15.0,2.380,92.7
,404.00,560.0,989.4,1183.2,34.5,404.32,1714,530.0,565.0,94.4,403.68,1673,7.4,1.580,92.7
,404.96,565.0,989.4,1213.8,28.6,405.28,1816,355.0,550.0,94.4,404.64,1754,17.4,2.280,92.7
