Wtorek,14,Lipiec,2026,18:29:08:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'011,,,,Grupa B:,'003,,,,Grupa C:,'008
,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa
,216.53,755,1081.2,1009.8,12.8,216.85,816,265.0,450.0,94.4,216.21,734,0.2,25.8,25.0
,217.49,796,1071.0,1009.8,12.8,217.81,898,285.0,455.0,94.4,217.17,796,0.2,25.6,24.4
,218.45,796,1101.6,1009.8,12.8,218.77,673,785.0,460.0,93.2,218.13,816,5.4,25.4,24.8
,219.41,836,1122.0,1020.0,12.8,219.73,857,450.0,465.0,5.2,219.09,755,7.8,25.6,24.8
,220.37,938,1091.4,1020.0,12.8,220.69,959,335.0,470.0,40.2,220.05,918,8.6,25.2,24.6
,221.33,979,1091.4,1020.0,12.8,221.65,979,315.0,455.0,90.4,221.01,938,6.2,25.0,24.6
,222.29,836,1071.0,1020.0,12.8,222.61,796,265.0,450.0,94.4,221.97,938,0.2,25.0,25.0
,223.25,775,1081.2,1009.8,12.8,223.59,775,270.0,450.0,94.4,222.93,775,0.2,25.6,24.6
,224.23,775,1081.2,1009.8,12.8,224.55,775,275.0,445.0,94.4,223.91,755,0.2,25.6,25.0
,225.19,755,1081.2,1009.8,12.8,225.51,775,275.0,450.0,94.4,224.87,775,0.2,25.6,24.8
,226.15,775,1071.0,1009.8,12.8,226.47,775,275.0,455.0,94.4,225.83,775,0.2,25.6,25.0
,227.11,775,1081.2,1009.8,12.8,227.45,775,270.0,455.0,94.4,226.79,775,0.2,25.6,24.8
,228.09,755,1081.2,1009.8,12.8,228.41,775,275.0,440.0,94.4,227.77,775,0.2,25.6,24.8
,229.05,775,1081.2,999.6,12.8,229.37,775,275.0,445.0,94.4,228.73,775,0.2,25.6,24.6
,230.01,775,1081.2,1009.8,12.8,230.33,775,275.0,445.0,94.4,229.69,775,0.2,25.6,24.8
,230.97,775,1081.2,1009.8,12.8,231.29,775,275.0,450.0,94.4,230.65,775,0.2,25.6,25.0
,231.93,775,1081.2,999.6,12.8,232.25,775,275.0,445.0,94.4,231.61,775,0.2,25.6,24.8
,232.89,775,1081.2,999.6,12.8,233.21,775,275.0,445.0,94.4,232.57,775,0.2,25.6,24.2
,233.85,775,1081.2,999.6,12.8,234.17,775,280.0,440.0,94.4,233.53,775,0.2,25.6,24.6
,234.81,775,1081.2,999.6,12.8,235.13,775,275.0,445.0,94.4,234.49,775,0.2,25.6,24.4
,235.77,775,1081.2,1009.8,12.8,236.09,775,275.0,450.0,94.4,235.45,775,0.2,25.6,25.0
,236.73,775,1081.2,999.6,12.8,237.05,775,275.0,440.0,94.4,236.41,775,0.2,25.6,24.6
,237.69,775,1081.2,999.6,12.8,238.01,775,275.0,440.0,94.4,237.37,775,0.2,25.6,24.8
,238.65,775,1081.2,999.6,12.8,238.97,775,275.0,450.0,94.4,238.33,775,0.2,25.6,24.4
,239.61,775,1081.2,999.6,12.8,239.93,775,275.0,450.0,94.4,239.29,775,0.2,25.6,25.0
,240.57,775,1081.2,1009.8,12.8,240.89,775,275.0,445.0,94.4,240.25,775,0.2,25.6,24.4
,241.53,775,1081.2,1009.8,12.8,241.85,775,275.0,435.0,94.4,241.21,775,0.2,25.6,24.8
,242.49,775,1081.2,999.6,12.8,242.81,775,275.0,450.0,94.4,242.17,775,0.2,25.6,25.0
,243.45,775,1081.2,999.6,12.8,243.77,775,275.0,455.0,94.4,243.13,775,0.2,25.6,25.0
,244.41,775,1081.2,1009.8,12.8,244.73,775,280.0,450.0,94.4,244.09,775,0.2,25.6,24.8
,245.37,775,1081.2,999.6,12.8,245.69,775,275.0,450.0,94.4,245.05,775,0.2,25.6,24.6
,246.33,775,1081.2,999.6,12.8,246.65,775,275.0,445.0,94.4,246.01,775,0.2,25.6,24.8
,247.29,775,1081.2,999.6,12.8,247.61,775,275.0,455.0,94.4,246.97,775,0.2,25.6,24.6
,248.25,775,1081.2,999.6,12.8,248.57,775,275.0,455.0,94.4,247.93,775,0.2,25.6,24.6
,249.21,775,1081.2,999.6,12.8,249.53,775,275.0,450.0,94.4,248.89,775,0.2,25.6,24.6
,250.17,775,1081.2,1009.8,12.8,250.49,775,275.0,440.0,94.4,249.85,775,0.2,25.6,24.8
,251.13,775,1081.2,1009.8,12.8,251.45,775,275.0,450.0,94.4,250.81,775,0.2,25.6,25.0
,252.09,775,1081.2,999.6,12.8,252.41,775,275.0,445.0,94.4,251.77,775,0.2,25.6,24.8
,253.05,775,1081.2,999.6,12.8,253.37,775,275.0,435.0,94.4,252.73,775,0.2,25.6,24.4
,254.01,775,1081.2,1009.8,12.8,254.33,775,275.0,445.0,94.4,253.69,775,0.2,25.6,24.8
,254.97,775,1081.2,1009.8,12.8,255.29,775,275.0,440.0,94.4,254.65,775,0.2,25.6,24.2
,255.93,775,1081.2,999.6,12.8,256.25,775,280.0,450.0,94.4,255.61,775,0.2,25.6,24.6
,256.89,775,1081.2,999.6,12.8,257.21,775,275.0,430.0,94.4,256.57,775,0.2,25.6,24.6
,257.85,775,1081.2,1009.8,12.8,258.17,775,275.0,450.0,94.4,257.53,775,0.2,25.6,25.0
,258.81,775,1081.2,999.6,12.8,259.13,775,275.0,450.0,94.4,258.49,775,0.2,25.6,24.6
,259.77,775,1081.2,1009.8,12.8,260.09,775,275.0,455.0,94.4,259.45,775,0.2,25.6,24.4
,260.73,775,1081.2,999.6,12.8,261.05,775,275.0,455.0,94.4,260.41,775,0.2,25.6,24.6
,261.69,775,1081.2,999.6,12.8,262.01,775,275.0,450.0,94.4,261.37,775,0.2,25.6,25.0
,262.65,775,1081.2,999.6,12.8,262.97,775,275.0,445.0,94.4,262.33,775,0.2,25.6,24.8
,263.61,775,1081.2,999.6,12.8,263.93,775,275.0,445.0,94.4,263.29,775,0.2,25.6,24.8
,264.57,775,1081.2,999.6,12.8,264.89,775,280.0,455.0,94.4,264.25,775,0.2,25.6,24.8
,265.53,775,1081.2,999.6,12.8,265.85,775,275.0,450.0,94.4,265.21,775,0.2,25.6,24.8
,266.49,775,1081.2,999.6,12.8,266.81,775,275.0,460.0,94.4,266.17,775,0.2,25.6,24.8
,267.45,775,1081.2,999.6,12.8,267.77,775,280.0,445.0,94.4,267.13,775,0.2,25.6,24.8
,268.41,775,1081.2,999.6,12.8,268.72,775,280.0,445.0,94.4,268.09,775,0.2,25.6,24.8
,269.37,775,1081.2,1009.8,12.8,269.69,775,275.0,440.0,94.4,269.05,775,0.2,25.6,25.0
,270.33,775,1081.2,999.6,12.8,270.65,775,275.0,450.0,94.4,270.01,775,0.2,25.6,24.8
,271.29,775,1081.2,1009.8,12.8,271.61,775,275.0,450.0,94.4,270.97,775,0.2,25.6,24.6
,272.25,775,1081.2,1009.8,12.8,272.57,775,275.0,450.0,94.4,271.92,775,0.2,25.6,24.6
,273.21,775,1081.2,999.6,12.8,273.53,775,275.0,450.0,94.4,272.89,775,0.2,25.6,24.6
,274.17,775,1081.2,1009.8,12.8,274.49,775,275.0,455.0,94.4,273.85,775,0.2,25.6,24.6
