Wtorek,14,Lipiec,2026,07:58:14:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'003,,,,Grupa B:,'008,,,,Grupa C:,'011
,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy
,214.95,775,275.0,475.0,94.4,214.31,755,0.2,25.6,25.6,214.63,775,1081.2,999.6,12.8
,215.91,775,280.0,470.0,94.4,215.27,775,0.2,25.6,25.6,215.59,775,1081.2,989.4,12.8
,216.87,755,280.0,480.0,94.4,216.23,775,0.2,25.6,25.4,216.55,775,1081.2,999.6,12.8
,217.83,775,280.0,475.0,94.4,217.19,775,0.2,25.6,25.8,217.51,775,1081.2,999.6,12.8
,218.79,775,280.0,475.0,94.4,218.15,775,0.2,25.6,25.4,218.47,775,1081.2,999.6,12.8
,219.75,775,280.0,465.0,94.4,219.11,775,0.2,25.6,25.2,219.43,775,1081.2,999.6,12.8
,220.71,775,280.0,480.0,94.4,220.07,775,0.2,25.6,25.6,220.39,775,1081.2,999.6,12.8
,221.67,775,280.0,470.0,94.4,221.03,775,0.2,25.6,25.8,221.35,775,1081.2,999.6,12.8
,222.63,755,285.0,465.0,94.4,221.99,775,0.2,25.6,25.6,222.31,775,1081.2,999.6,12.8
,223.59,775,280.0,465.0,94.4,222.95,775,0.2,25.6,25.6,223.27,775,1081.2,999.6,12.8
,224.55,775,275.0,475.0,94.4,223.91,775,0.2,25.6,25.4,224.23,775,1081.2,999.6,12.8
,225.51,775,280.0,475.0,94.4,224.87,775,0.2,25.6,26.0,225.19,775,1081.2,999.6,12.8
,226.47,775,275.0,475.0,94.4,225.83,775,0.2,25.6,25.6,226.15,775,1081.2,999.6,12.8
,227.43,775,280.0,475.0,94.4,226.79,775,0.2,25.6,25.8,227.11,775,1081.2,989.4,12.8
,228.39,775,280.0,480.0,94.4,227.75,775,0.2,25.6,25.4,228.07,775,1081.2,989.4,12.8
,229.35,775,275.0,475.0,94.4,228.71,775,0.2,25.6,25.8,229.03,775,1081.2,999.6,12.8
,230.31,775,280.0,470.0,94.4,229.67,775,0.2,25.6,26.2,229.99,775,1081.2,999.6,12.8
,231.29,775,280.0,470.0,94.4,230.63,775,0.2,25.6,25.2,230.95,775,1081.2,999.6,12.8
,232.25,775,280.0,480.0,94.4,231.61,775,0.2,25.6,25.6,231.93,775,1081.2,999.6,12.8
,233.21,775,280.0,480.0,94.4,232.57,775,0.2,25.6,25.6,232.89,775,1081.2,999.6,12.8
,234.17,775,280.0,470.0,94.4,233.53,775,0.2,25.6,25.4,233.85,775,1081.2,999.6,12.8
,235.13,775,280.0,460.0,94.4,234.49,775,0.2,25.6,25.6,234.81,775,1081.2,989.4,12.8
,236.09,775,280.0,480.0,94.4,235.45,775,0.2,25.6,25.6,235.77,775,1081.2,999.6,12.8
,237.05,959,295.0,490.0,94.4,236.41,877,3.6,25.2,24.8,236.73,918,1091.4,989.4,12.8
,238.01,938,260.0,500.0,94.4,237.37,979,6.0,24.8,25.0,237.69,979,1081.2,989.4,12.8
,238.97,836,280.0,465.0,94.4,238.33,1000,0.2,24.8,25.2,238.65,898,1081.2,999.6,12.8
,239.92,796,275.0,475.0,94.4,239.29,816,0.2,25.4,25.8,239.61,796,1081.2,999.6,12.8
,240.89,775,280.0,480.0,94.4,240.25,775,0.2,25.6,25.8,240.57,775,1081.2,999.6,12.8
,241.87,775,280.0,465.0,94.4,241.23,775,0.2,25.6,25.6,241.55,775,1081.2,999.6,12.8
,242.83,775,280.0,475.0,94.4,242.19,775,0.2,25.6,25.4,242.50,775,1081.2,999.6,12.8
,243.79,755,285.0,480.0,94.4,243.15,775,0.2,25.6,25.8,243.47,775,1081.2,989.4,12.8
,244.75,775,275.0,465.0,94.4,244.10,775,0.2,25.6,25.8,244.43,775,1081.2,989.4,12.8
,245.70,775,280.0,475.0,94.4,245.07,775,0.2,25.6,26.0,245.39,775,1081.2,999.6,12.8
,246.67,755,285.0,475.0,94.4,246.03,775,0.2,25.6,25.8,246.35,775,1081.2,999.6,12.8
,247.63,775,310.0,480.0,94.4,246.99,836,3.0,25.4,25.4,247.31,816,1081.2,999.6,12.8
,248.59,714,510.0,470.0,4.8,247.95,816,0.2,25.4,25.6,248.26,755,1091.4,999.6,12.8
,249.54,918,410.0,455.0,12.4,248.90,734,0.2,25.8,25.6,249.22,734,1101.6,999.6,12.8
,250.51,1306,460.0,485.0,27.1,249.86,1000,7.6,24.8,25.2,250.18,1142,1213.8,999.6,12.8
,251.47,1938,490.0,520.0,30.7,250.83,1489,16.4,30.8,27.8,251.15,1714,1519.8,1020.0,12.8
,252.43,1958,265.0,590.0,94.4,251.79,2122,14.4,44.0,29.4,252.10,2244,1530.0,1132.2,12.8
,253.39,1326,505.0,530.0,92.4,252.74,1346,5.0,27.0,28.8,253.06,1244,1264.8,1091.4,12.8
,254.35,1673,575.0,545.0,4.8,253.71,1408,22.6,28.6,28.0,254.03,1530,1540.2,1091.4,12.8
,255.31,2081,850.0,645.0,4.8,254.67,1795,26.4,36.8,30.2,254.99,1918,1978.8,1193.4,12.8
,256.26,2570,600.0,770.0,21.9,255.63,2264,42.0,45.0,38.4,255.95,2448,1978.8,1519.8,12.8
,257.23,1693,260.0,630.0,94.4,256.59,2693,17.8,46.8,42.0,256.91,2468,1366.8,1499.4,15.9
,258.19,1795,850.0,610.0,4.8,257.55,1734,9.8,36.4,30.6,257.87,1734,1703.4,1183.2,12.8
,259.14,1999,850.0,715.0,4.8,258.51,1877,45.8,38.8,34.0,258.83,1938,1978.8,1356.6,12.8
,260.10,2264,850.0,830.0,4.8,259.46,2081,45.6,43.8,40.4,259.78,2183,1978.8,1611.6,12.8
,261.06,2407,320.0,695.0,89.3,260.42,2346,35.4,45.6,43.4,260.74,2387,1601.4,1723.8,15.9
,262.03,2346,290.0,555.0,94.4,261.38,2346,0.2,45.6,35.2,261.70,2366,1326.0,1244.4,22.3
,262.98,2203,280.0,530.0,94.4,262.35,2285,0.2,45.2,29.2,262.66,2244,1305.6,1122.0,12.8
,263.94,2040,270.0,525.0,94.4,263.30,2142,0.2,44.2,28.8,263.62,2101,1285.2,1081.2,12.8
,264.90,1897,265.0,515.0,94.4,264.26,1999,0.2,43.4,28.8,264.58,1958,1254.6,1071.0,12.8
,265.86,1775,265.0,520.0,94.4,265.22,1856,0.2,39.0,28.2,265.54,1816,1234.2,1050.6,12.8
,266.83,1714,265.0,515.0,94.4,266.19,1754,0.2,36.4,28.4,266.50,1734,1264.8,1040.4,12.8
,267.79,1652,260.0,515.0,94.4,267.14,1693,4.2,35.4,28.4,267.47,1673,1264.8,1040.4,12.8
,268.74,1612,260.0,505.0,94.4,268.10,1652,4.0,34.4,28.4,268.42,1632,1285.2,1040.4,12.8
,269.71,1571,350.0,500.0,94.0,269.06,1591,4.4,33.2,28.4,269.38,1571,1315.8,1030.2,12.8
,270.67,1673,535.0,555.0,86.5,270.03,1612,20.6,33.4,29.2,270.35,1632,1550.4,1081.2,12.8
,271.62,1693,275.0,535.0,94.4,270.99,1693,11.2,35.2,29.8,271.31,1714,1377.0,1122.0,12.8
,272.58,1652,260.0,515.0,94.4,271.94,1693,4.4,35.6,28.8,272.26,1693,1285.2,1071.0,12.8
,273.54,1612,280.0,510.0,94.4,272.90,1652,1.0,34.4,28.4,273.22,1612,1305.6,1040.4,12.8
,274.50,1591,385.0,525.0,94.4,273.86,1591,6.6,33.2,28.2,274.18,1652,1377.0,1040.4,12.8
,275.46,1632,375.0,525.0,94.4,274.82,1612,11.6,33.6,28.8,275.15,1612,1377.0,1071.0,12.8
,276.43,1673,375.0,540.0,94.4,275.78,1652,11.0,34.6,29.0,276.10,1652,1387.2,1081.2,12.8
,277.38,1673,365.0,535.0,94.4,276.74,1673,10.4,35.0,29.2,277.06,1673,1377.0,1081.2,12.8
,278.34,1693,305.0,535.0,94.4,277.70,1693,10.4,35.2,29.2,278.02,1693,1377.0,1091.4,12.8
,279.31,1693,290.0,525.0,94.4,278.66,1693,7.2,35.6,28.8,278.98,1693,1356.6,1071.0,12.8
,280.26,1693,300.0,520.0,94.4,279.62,1673,6.0,34.8,29.0,279.94,1693,1346.4,1060.8,12.8
,281.22,1673,310.0,520.0,94.4,280.58,1693,7.8,35.4,28.4,280.90,1673,1356.6,1060.8,12.8
,282.18,1652,295.0,520.0,94.4,281.54,1652,7.6,34.8,28.8,281.86,1673,1356.6,1060.8,12.8
,283.14,1632,305.0,525.0,94.4,282.50,1652,7.4,34.6,28.8,282.82,1632,1346.4,1060.8,12.8
,284.10,1693,545.0,545.0,90.0,283.46,1652,10.6,34.6,28.8,283.78,1673,1540.2,1071.0,12.8
,285.06,1816,595.0,595.0,86.5,284.42,1734,23.0,36.2,30.0,284.74,1775,1774.8,1173.0,12.8
,286.02,1979,580.0,625.0,94.4,285.38,1877,25.6,39.2,32.2,285.70,1918,1866.6,1275.0,12.8
,286.98,2122,850.0,690.0,4.8,286.34,2020,25.0,43.4,34.2,286.66,2060,1958.4,1346.4,12.8
,287.94,2346,850.0,840.0,4.8,287.30,2203,46.0,44.4,40.6,287.62,2285,1978.8,1621.8,12.8
,288.90,2468,440.0,780.0,52.2,288.26,2407,27.8,46.2,43.2,288.58,2468,1958.4,1703.4,12.8
,289.86,1693,260.0,545.0,94.4,289.22,1958,0.2,43.4,35.8,289.54,1550,1183.2,1295.4,34.3
,290.82,1632,260.0,515.0,94.4,290.18,1673,0.2,35.2,29.0,290.50,1652,1203.6,1081.2,21.9
,291.78,1550,260.0,510.0,94.4,291.14,1612,0.2,33.6,28.2,291.46,1591,1193.4,1050.6,12.8
,292.74,1510,260.0,490.0,94.4,292.10,1530,0.2,32.0,28.2,292.42,1530,1173.0,1030.2,12.8
,293.70,1489,305.0,500.0,94.4,293.06,1510,6.4,31.2,28.0,293.38,1489,1315.8,1030.2,12.8
,294.66,1489,345.0,495.0,94.4,294.02,1469,7.0,30.4,28.2,294.34,1469,1295.4,1040.4,12.8
,295.62,1489,310.0,515.0,94.4,294.98,1489,11.2,30.6,28.4,295.30,1489,1315.8,1050.6,12.8
,296.58,1530,275.0,470.0,94.4,295.94,1448,4.6,29.6,28.0,296.26,979,1071.0,1050.6,14.7
,297.54,2040,290.0,515.0,94.4,296.90,1897,5.2,39.6,26.6,297.22,2060,1428.0,1020.0,12.8
,298.50,2040,490.0,540.0,93.6,297.86,2040,6.8,43.6,28.6,298.18,2040,1438.2,1081.2,12.8
,299.46,2142,550.0,630.0,94.4,298.82,2060,22.8,43.8,30.6,299.14,2101,1846.2,1213.8,12.8
,300.42,2244,550.0,680.0,94.4,299.78,2183,23.0,44.4,34.4,300.10,2203,1876.8,1346.4,12.8
,301.38,2326,480.0,665.0,94.4,300.74,2285,22.8,45.0,37.6,301.06,2305,1744.2,1417.8,12.8
,302.34,2366,385.0,630.0,94.4,301.70,2346,15.0,45.6,36.0,302.02,2346,1621.8,1346.4,12.8
,303.30,2346,315.0,590.0,94.4,302.66,2346,8.6,45.6,33.0,302.98,2346,1509.6,1254.6,12.8
,304.26,2264,285.0,540.0,94.4,303.62,2285,0.2,45.0,31.2,303.94,2285,1305.6,1162.8,12.8
,305.22,2122,275.0,530.0,94.4,304.58,2203,0.2,44.4,28.6,304.90,2162,1295.4,1101.6,12.8
,306.18,1999,270.0,520.0,94.4,305.54,2081,0.2,43.8,28.4,305.86,2040,1275.0,1081.2,12.8
,307.14,1877,265.0,515.0,94.4,306.50,1958,0.2,42.0,28.2,306.82,1918,1254.6,1071.0,12.8
,308.10,1795,265.0,520.0,94.4,307.46,1856,0.2,39.0,28.2,307.78,1816,1234.2,1050.6,12.8
,309.06,1693,260.0,515.0,94.4,308.42,1754,0.2,36.4,28.2,308.74,1734,1224.0,1050.6,12.8
,310.02,1632,260.0,495.0,94.4,309.38,1652,0.4,34.6,28.6,309.70,1652,1224.0,1040.4,12.8
,310.98,1591,375.0,520.0,94.4,310.34,1591,5.2,33.2,28.2,310.66,1591,1346.4,1040.4,12.8
,311.94,1612,290.0,525.0,94.4,311.30,1612,11.0,33.4,28.6,311.62,1612,1377.0,1071.0,12.8
,312.90,1632,315.0,525.0,94.4,312.26,1632,7.0,34.0,28.8,312.58,1612,1336.2,1071.0,12.8
,313.86,1714,550.0,555.0,90.0,313.22,1652,20.2,34.6,28.8,313.54,1673,1591.2,1091.4,12.8
,314.82,1714,265.0,540.0,94.4,314.18,1734,13.6,36.0,30.4,314.50,1754,1366.8,1152.6,12.8
,315.78,1734,295.0,530.0,94.4,315.14,1734,4.2,36.2,29.0,315.46,1734,1356.6,1081.2,12.8
,316.74,1836,850.0,585.0,4.8,316.10,1754,19.6,36.4,29.0,316.42,1795,1887.0,1122.0,12.8
,317.70,1877,265.0,585.0,73.7,317.06,1897,42.0,40.2,32.8,317.38,1897,1336.2,1336.2,13.9
,318.66,1795,265.0,530.0,94.4,318.02,1897,0.2,40.0,29.8,318.34,1836,1244.4,1122.0,12.8
,319.62,1673,260.0,505.0,94.4,318.98,1754,0.2,36.2,28.6,319.30,1714,1213.8,1060.8,12.8
,320.58,1530,260.0,505.0,94.4,319.94,1632,0.2,34.0,28.6,320.26,1591,1193.4,1050.6,12.8
,321.55,1469,260.0,490.0,94.4,320.90,1510,0.2,31.6,28.0,321.22,1469,1162.8,1030.2,12.8
,322.52,1408,290.0,495.0,94.4,321.88,1408,1.8,28.8,27.2,322.20,1428,1244.4,1020.0,12.8
,323.48,1428,430.0,505.0,94.4,322.84,1428,7.8,29.2,27.0,323.16,1387,1305.6,1030.2,12.8
,324.44,1469,390.0,520.0,94.4,323.80,1448,13.6,29.2,28.0,324.12,1469,1336.2,1060.8,12.8
,325.40,1489,285.0,525.0,94.4,324.76,1489,12.8,31.0,28.8,325.08,1469,1305.6,1071.0,12.8
,326.36,1346,260.0,520.0,94.4,325.71,1469,5.6,30.4,28.4,326.04,1428,1152.6,1050.6,12.8
,327.32,816,275.0,480.0,94.4,326.68,918,0.2,25.0,26.4,327.00,857,1081.2,1030.2,12.8
,328.28,775,275.0,470.0,94.4,327.64,796,0.2,25.6,25.8,327.96,775,1071.0,1009.8,12.8
,329.23,775,275.0,475.0,94.4,328.60,775,0.2,25.6,24.8,328.91,775,1081.2,999.6,12.8
,330.19,775,275.0,465.0,94.4,329.55,775,0.2,25.6,25.6,329.87,775,1081.2,999.6,12.8
,331.15,979,260.0,480.0,94.4,330.51,775,0.2,25.6,25.8,330.83,1040,1091.4,989.4,12.8
,332.12,816,260.0,460.0,94.4,331.48,959,2.4,25.0,24.8,331.80,857,1071.0,999.6,12.8
,333.08,816,260.0,460.0,94.4,332.44,775,0.2,25.6,25.6,332.75,775,1081.2,999.6,12.8
,334.03,816,260.0,470.0,94.4,333.40,918,0.2,25.0,24.8,333.71,836,1071.0,999.6,12.8
,334.99,898,260.0,470.0,94.4,334.35,898,2.8,25.2,25.2,334.67,938,1060.8,999.6,12.8
,335.95,877,410.0,485.0,94.4,335.31,898,7.6,25.2,24.8,335.63,877,1091.4,999.6,12.8
,336.91,1061,590.0,490.0,4.8,336.27,918,17.6,25.0,25.0,336.59,979,1132.2,1009.8,12.8
,337.88,1367,590.0,500.0,4.8,337.23,1163,21.2,24.2,25.4,337.56,1224,1336.2,1030.2,12.8
,338.84,1693,570.0,540.0,4.8,338.19,1448,22.2,29.6,28.4,338.52,1550,1519.8,1091.4,12.8
,339.79,1999,535.0,590.0,15.9,339.16,1775,22.4,36.6,30.2,339.48,1918,1734.0,1183.2,12.8
,340.75,2285,490.0,655.0,54.6,340.11,2122,21.4,44.0,32.6,340.43,2203,1815.6,1305.6,12.8
,341.71,2489,410.0,655.0,94.4,341.07,2366,17.2,45.8,35.8,341.40,2448,1734.0,1366.8,12.8
,342.67,2428,295.0,625.0,94.4,342.03,2530,11.2,46.8,35.0,342.35,2550,1621.8,1326.0,12.8
,343.64,1591,280.0,530.0,94.4,342.99,1734,0.2,36.4,32.0,343.31,1387,1275.0,1183.2,12.8
,344.60,1632,590.0,535.0,86.5,343.95,1591,7.2,33.4,28.8,344.28,1591,1387.2,1091.4,12.8
,345.55,1795,850.0,620.0,4.8,344.91,1673,44.2,34.8,30.2,345.23,1714,1978.8,1193.4,12.8
,346.51,1999,850.0,720.0,4.8,345.87,1856,48.8,38.4,34.0,346.19,1938,1978.8,1377.0,12.8
,347.47,2264,850.0,835.0,4.8,346.83,2081,48.8,43.8,40.4,347.15,2162,1978.8,1642.2,12.8
,348.43,2509,760.0,870.0,4.8,347.79,2346,49.0,45.6,43.0,348.11,2448,1978.8,1825.8,12.8
,349.41,1387,260.0,520.0,94.0,348.77,2448,0.8,46.4,42.2,349.10,1693,1213.8,1458.6,39.8
,350.37,1693,260.0,520.0,94.4,349.73,1714,0.2,35.8,29.4,350.05,1714,1213.8,1111.8,37.1
,351.33,1591,260.0,510.0,94.4,350.69,1673,0.2,35.2,28.4,351.01,1632,1203.6,1060.8,18.3
,352.29,1448,260.0,505.0,94.4,351.65,1550,0.2,32.2,28.6,351.97,1510,1173.0,1040.4,12.8
,353.25,1367,260.0,490.0,94.4,352.61,1428,0.2,29.0,27.2,352.93,1387,1142.4,1030.2,12.8
,354.21,1306,260.0,495.0,94.4,353.57,1326,0.2,26.4,26.2,353.90,1326,1132.2,1020.0,12.8
,355.19,1265,260.0,490.0,94.4,354.53,1285,0.2,25.0,25.8,354.85,1285,1132.2,1009.8,12.8
,356.15,1265,495.0,505.0,92.4,355.51,1265,6.2,24.2,25.4,355.83,1265,1295.4,1020.0,12.8
,357.12,1326,550.0,515.0,84.1,356.47,1285,19.0,25.0,26.2,356.80,1306,1346.4,1060.8,12.8
,358.05,1326,295.0,520.0,23.5,357.43,1346,21.4,26.4,27.0,357.73,1346,1387.2,1091.4,12.8
,359.01,1244,260.0,520.0,94.4,358.37,1326,5.6,26.2,26.8,358.69,1346,1254.6,1060.8,12.8
,359.99,1306,260.0,485.0,94.4,359.34,918,10.2,25.2,26.2,359.65,1163,1152.6,1030.2,12.8
,360.95,1734,260.0,485.0,94.4,360.31,1428,2.8,29.2,26.2,360.63,1571,1254.6,1009.8,12.8
,361.91,1734,265.0,495.0,94.4,361.27,1775,2.2,36.6,27.8,361.59,1754,1285.2,1030.2,12.8
,362.87,1652,260.0,500.0,94.4,362.23,1714,0.2,35.6,27.8,362.55,1673,1203.6,1040.4,12.8
,363.83,1591,260.0,500.0,94.4,363.19,1632,0.2,34.2,27.8,363.51,1591,1193.4,1040.4,12.8
,364.79,1489,260.0,510.0,94.4,364.15,1550,0.2,32.4,28.4,364.47,1550,1183.2,1030.2,12.8
,365.75,1510,465.0,525.0,94.4,365.11,1469,9.6,30.6,27.8,365.43,1489,1377.0,1040.4,12.8
,366.71,1550,280.0,525.0,94.4,366.07,1530,15.0,31.8,29.0,366.39,1530,1326.0,1091.4,12.8
,367.67,1510,260.0,505.0,94.4,367.03,1530,3.8,31.8,28.8,367.35,1530,1173.0,1060.8,12.8
,368.63,1448,315.0,500.0,94.4,367.99,1489,0.2,30.6,28.0,368.31,1469,1275.0,1040.4,12.8
,369.59,1510,510.0,540.0,94.4,368.95,1489,16.0,30.6,28.6,369.27,1550,1397.4,1060.8,12.8
,370.55,1652,510.0,570.0,10.0,369.91,1591,24.0,33.2,29.2,370.23,1612,1560.6,1132.2,12.8
,371.51,1734,425.0,565.0,46.2,370.87,1673,17.2,35.2,30.4,371.19,1714,1468.8,1173.0,12.8
,372.47,1795,410.0,555.0,94.4,371.83,1754,13.0,36.4,30.0,372.15,1795,1458.6,1162.8,12.8
,373.43,1856,410.0,560.0,94.4,372.79,1836,13.0,38.2,30.0,373.11,1836,1468.8,1162.8,12.8
,374.39,1897,405.0,570.0,94.4,373.75,1877,13.2,39.4,29.8,374.07,1897,1489.2,1162.8,12.8
,375.35,1938,390.0,565.0,94.4,374.71,1918,12.8,40.6,30.2,375.03,1938,1499.4,1173.0,12.8
,376.31,1958,370.0,565.0,94.4,375.67,1938,11.8,41.6,30.2,375.99,1958,1489.2,1173.0,12.8
,377.27,1979,370.0,565.0,94.4,376.63,1979,10.8,42.6,30.2,376.95,1979,1468.8,1162.8,12.8
,378.23,1999,375.0,560.0,94.4,377.59,1979,10.6,42.8,29.8,377.91,1979,1468.8,1162.8,12.8
,379.19,1999,375.0,565.0,94.4,378.55,1999,11.2,43.4,29.8,378.87,1999,1479.0,1162.8,12.8
,380.15,2040,410.0,565.0,94.4,379.51,1999,13.0,43.4,30.2,379.83,2020,1530.0,1173.0,12.8
,381.11,2122,460.0,645.0,23.1,380.47,2060,21.6,43.6,30.6,380.79,2122,1978.8,1244.4,12.8
,382.07,2203,485.0,635.0,86.5,381.43,2162,16.0,44.2,34.2,381.75,2183,1672.8,1315.8,12.8
,383.03,2285,715.0,670.0,94.0,382.39,2224,17.8,44.6,34.6,382.71,2244,1805.4,1326.0,12.8
,383.99,2489,820.0,805.0,4.8,383.35,2346,35.4,45.6,40.0,383.67,2407,1978.8,1581.0,12.8
,384.95,2652,655.0,805.0,4.8,384.31,2530,30.4,46.8,42.4,384.63,2611,1978.8,1723.8,12.8
,385.91,1856,305.0,600.0,94.0,385.27,2693,21.8,46.8,41.6,385.59,2387,1326.0,1570.8,27.5
,386.87,1877,580.0,600.0,94.0,386.23,1897,16.6,39.8,30.2,386.55,1856,1621.8,1254.6,12.8
,387.85,1958,835.0,675.0,4.8,387.19,1897,27.4,39.8,32.6,387.51,1918,1978.8,1336.2,12.8
,388.81,2040,785.0,700.0,4.8,388.17,1979,31.4,43.2,36.4,388.49,2020,1978.8,1468.8,12.8
,389.75,2101,610.0,700.0,4.8,389.13,2060,27.8,43.6,37.6,389.45,2081,1968.6,1479.0,12.8
,390.71,2142,530.0,670.0,57.8,390.07,2101,23.8,44.0,36.8,390.39,2122,1876.8,1448.4,12.8
,391.67,2122,275.0,555.0,94.4,391.03,2142,15.6,44.0,34.4,391.35,2101,1346.4,1346.4,16.3
,392.65,2060,275.0,515.0,94.4,391.99,2101,0.2,44.0,29.0,392.31,2081,1275.0,1142.4,12.8
,393.61,2020,270.0,510.0,94.4,392.97,2040,0.2,43.6,28.4,393.29,2020,1275.0,1091.4,12.8
,394.57,1979,265.0,510.0,94.4,393.93,1999,0.2,43.4,28.2,394.25,1979,1264.8,1081.2,12.8
,395.53,1918,265.0,515.0,94.4,394.89,1938,0.2,42.0,28.0,395.21,1938,1254.6,1071.0,12.8
,396.49,1877,265.0,515.0,94.4,395.85,1897,0.2,40.6,28.0,396.17,1897,1244.4,1071.0,12.8
,397.45,836,280.0,505.0,94.4,396.81,1795,0.2,37.4,28.4,397.13,1265,1122.0,1081.2,13.1
,398.41,775,270.0,465.0,94.4,397.77,796,0.2,25.4,25.4,398.09,796,1071.0,1040.4,12.8
,399.37,775,270.0,460.0,94.4,398.73,775,0.2,25.6,25.2,399.05,775,1081.2,1009.8,12.8
,400.33,775,270.0,455.0,94.4,399.69,775,0.2,25.6,25.0,400.00,775,1071.0,1009.8,12.8
,401.29,1163,315.0,465.0,94.4,400.65,755,0.2,25.6,25.4,400.97,775,1101.6,999.6,12.8
,402.25,1163,260.0,465.0,94.4,401.61,918,0.2,25.0,26.4,401.93,979,1060.8,999.6,12.8
,403.21,1856,265.0,470.0,94.4,402.57,1530,0.6,31.6,26.2,402.89,1693,1213.8,999.6,12.8
,404.16,2040,275.0,500.0,94.4,403.52,2060,1.2,43.6,26.2,403.84,2040,1315.8,1020.0,12.8
,405.12,1999,370.0,545.0,94.4,404.48,2020,6.6,43.4,28.0,404.81,2060,1479.0,1081.2,12.8
,406.09,2040,435.0,565.0,94.4,405.45,2020,13.8,43.4,29.2,405.77,2040,1581.0,1152.6,12.8
,407.05,2122,490.0,595.0,94.4,406.41,2081,16.4,43.8,31.2,406.73,2101,1652.4,1224.0,12.8
,408.01,2244,580.0,650.0,94.4,407.37,2162,20.4,44.2,32.8,407.69,2203,1836.0,1305.6,12.8
,408.96,2428,845.0,755.0,4.8,408.32,2285,26.4,45.2,37.8,408.64,2346,1978.8,1479.0,12.8
,409.92,2591,485.0,790.0,40.2,409.29,2489,36.8,46.8,42.0,409.61,2550,1978.8,1744.2,12.8
,410.89,2570,305.0,615.0,94.4,410.24,2591,8.0,46.8,40.4,410.57,2591,1468.8,1468.8,14.3
,411.85,2489,295.0,545.0,94.4,411.21,2570,0.2,46.8,30.2,411.52,2509,1346.4,1193.4,12.8
,412.82,2366,290.0,540.0,94.4,412.17,2448,0.2,46.4,28.8,412.50,2407,1326.0,1142.4,12.8
,413.79,2244,285.0,530.0,94.4,413.14,2346,0.2,45.6,28.6,413.46,2285,1305.6,1122.0,12.8
,414.74,2101,275.0,530.0,94.4,414.10,2203,0.2,44.4,28.4,414.43,2142,1285.2,1101.6,12.8
,415.71,1938,265.0,520.0,94.4,415.06,2060,0.2,43.8,28.2,415.38,1999,1264.8,1091.4,12.8
,416.67,1734,265.0,510.0,94.4,416.03,1897,0.2,39.8,28.2,416.35,1816,1234.2,1081.2,12.8
,417.64,816,270.0,480.0,94.4,417.01,1408,0.2,28.8,28.8,417.33,918,1071.0,1071.0,13.5
,418.60,775,270.0,455.0,94.4,417.96,775,0.2,25.6,26.0,418.29,775,1081.2,1030.2,12.8
,419.58,775,275.0,460.0,94.4,418.94,775,0.2,25.6,24.8,419.26,775,1081.2,1009.8,12.8
,420.54,775,275.0,445.0,94.4,419.90,775,0.2,25.6,25.2,420.22,775,1081.2,1009.8,12.8
,421.50,775,275.0,455.0,94.4,420.86,775,0.2,25.6,25.0,421.18,775,1081.2,999.6,12.8
,422.46,775,275.0,460.0,94.4,421.82,775,0.2,25.6,25.0,422.14,775,1081.2,999.6,12.8
,423.42,775,275.0,455.0,94.4,422.78,775,0.2,25.6,24.8,423.10,775,1081.2,999.6,12.8
,424.38,775,280.0,455.0,94.4,423.74,775,0.2,25.6,24.8,424.06,775,1081.2,999.6,12.8
,425.34,775,275.0,470.0,94.4,424.70,775,0.2,25.6,24.8,425.02,775,1081.2,999.6,12.8
,426.30,775,280.0,445.0,94.4,425.66,775,0.2,25.6,24.6,425.98,775,1081.2,999.6,12.8
,427.26,816,275.0,460.0,94.4,426.62,775,0.2,25.6,25.2,426.94,775,1081.2,999.6,12.8
,428.22,816,275.0,455.0,94.4,427.58,816,1.4,25.4,24.8,427.90,816,1081.2,999.6,12.8
,429.18,836,285.0,460.0,94.4,428.54,816,1.2,25.4,25.2,428.86,816,1081.2,999.6,12.8
,430.14,877,280.0,465.0,94.4,429.50,877,3.4,25.2,24.4,429.82,877,1081.2,999.6,12.8
,431.10,918,285.0,465.0,94.4,430.46,877,3.0,25.2,25.2,430.78,877,1081.2,999.6,12.8
,432.06,918,280.0,460.0,94.4,431.42,918,4.2,25.0,25.2,431.74,918,1081.2,999.6,12.8
,433.02,938,285.0,480.0,94.4,432.38,918,5.0,25.0,24.6,432.70,938,1081.2,999.6,12.8
,433.98,959,285.0,465.0,94.4,433.34,938,5.0,25.0,25.0,433.66,938,1081.2,999.6,12.8
,434.94,959,290.0,470.0,94.4,434.30,959,5.6,25.0,24.6,434.62,959,1081.2,1009.8,12.8
,435.90,1000,280.0,480.0,94.4,435.26,1000,6.6,24.8,24.4,435.58,1000,1091.4,1009.8,12.8
,436.86,816,260.0,475.0,94.4,436.22,1000,6.4,24.8,25.4,436.54,877,1071.0,1009.8,12.8
,437.82,775,275.0,450.0,94.4,437.18,775,0.2,25.6,25.4,437.50,775,1081.2,1009.8,12.8
